[ Lord NP | PERSON ]
[ Red Bull NP | (unknown) ]
[ FDA NP | THING ]
[ Friday NP | TIME ]
[ America NP | (unknown) ]
[ President Obama's NP | PERSON ]
[ one	CD | NUMBER]
[ America NP | (unknown) ]
[ 20	CD | NUMBER]
[ 69	CD | NUMBER]
[ Americans NP | (unknown) ]
[ Social Security NP | (unknown) ]
[ Social Security NP | (unknown) ]
[ Medicare NP | (unknown) ]
[ 15	CD | NUMBER]
[ 2013	CD | TIME]
[ 500,000	CD | MONEY]
[ 100	CD | MONEY]
[ billion	CD | MONEY]
[ 3	CD | NUMBER]
[ 100	CD | MONEY]
[ billion	CD | MONEY]
[ 100	CD | MONEY]
[ billion	CD | MONEY]
[ 200	CD | MONEY]
[ billion	CD | MONEY]
[ Medicare NP | (unknown) ]
[ Medicaid NP | (unknown) ]
[ Erskine Bowles NP | (unknown) ]
[ Alan Simpson NP | PERSON ]
[ Washington NP | LOCATION ]
[ Las Vegas NP | THING ]
[ President Obama NP | PERSON ]
[ 2012	CD | TIME]
[ Americans NP | (unknown) ]
[ Obama NP | (unknown) ]
[ Obama NP | PERSON ]
[ Party NP | ORGANIZATION ]
[ shellacking, NP | (unknown) ]
[ Obama NP | THING ]
[ House NP | LOCATION ]
[ Representatives NP | (unknown) ]
[ Senate NP | THING ]
[ Obama's NP | PERSON ]
[ one	CD | NUMBER]
[ Office NP | ORGANIZATION ]
[ Thrift Supervision) NP | (unknown) ]
[ Washington NP | LOCATION ]
[ Obama NP | (unknown) ]
[ Republicans NP | (unknown) ]
[ White House NP | LOCATION ]
[ 2012	CD | TIME]
[ eight	CD | NUMBER]
[ 2012	CD | TIME]
[ Social Security NP | (unknown) ]
[ Medicare NP | (unknown) ]
[ Republicans NP | (unknown) ]
[ Republicans NP | (unknown) ]
[ January NP | TIME ]
[ Republican Sen NP | (unknown) ]
[ Jim DeMint NP | (unknown) ]
[ South Carolina NP | (unknown) ]
[ Congress NP | (unknown) ]
[ Congress NP | (unknown) ]
[ Democrats NP | (unknown) ]
[ Mitch McConnell NP | PERSON ]
[ Senate NP | THING ]
[ Congress's NP | (unknown) ]
[ Congress's NP | (unknown) ]
[ 16	CD | MONEY]
[ billion	CD | MONEY]
[ Bowles-Simpson NP | PERSON ]
[ Obama NP | (unknown) ]
[ far. NP | (unknown) ]
[ Obama NP | PERSON ]
[ Mr NP | PERSON ]
[ Democrats NP | THING ]
[ White House NP | LOCATION ]
[ 2016	CD | TIME]
[ Obama NP | (unknown) ]
[ Herbert Hoover NP | (unknown) ]
[ Obama NP | THING ]
[ Obama NP | PERSON ]
[ Senate NP | THING ]
[ Obama NP | THING ]
[ Washington NP | LOCATION ]
[ 2012	CD | TIME]
[ Obama NP | (unknown) ]
[ 2016	CD | TIME]
[ Balfour Beatty NP | THING ]
[ 375	CD | MONEY]
[ 2007	CD | TIME]
[ 40,000	CD | NUMBER]
[ Balfour Beatty NP | THING ]
[ 2008	CD | TIME]
[ Rok NP | (unknown) ]
[ 380	CD | NUMBER]
[ forex NP | (unknown) ]
[ FX NP | THING ]
[ one	CD | NUMBER]
[ US NP | (unknown) ]
[ Pound Sterling NP | (unknown) ]
[ US NP | LOCATION ]
[ one	CD | NUMBER]
[ Bretton Woods NP | LOCATION ]
[ 24	CD | NUMBER]
[ 20:15	CD | TIME]
[ Sunday NP | TIME ]
[ 22:00	CD | TIME]
[ GMT Friday NP | TIME ]
[ Bank NP | THING ]
[ International Settlements,[3 NP | (unknown) ]
[ April NP | TIME ]
[ 3.98	CD | MONEY]
[ trillion	CD | MONEY]
[ 20%	CD | PERCENTAGE]
[ 3.21	CD | MONEY]
[ trillion	CD | MONEY]
[ April NP | TIME ]
[ 3.98	CD | MONEY]
[ trillion	CD | MONEY]
[ 1.490	CD | MONEY]
[ trillion	CD | MONEY]
[ 475	CD | MONEY]
[ billion	CD | MONEY]
[ 1.765	CD | MONEY]
[ trillion	CD | MONEY]
[ 43	CD | MONEY]
[ billion	CD | MONEY]
[ 207	CD | MONEY]
[ billion	CD | MONEY]
